iteration,scenario,pcap_file
1,benign,./data/h4_capture_benign_1.pcap
1,icmp_flood,./data/h4_capture_icmp_flood_1.pcap
1,syn_flood,./data/h4_capture_syn_flood_1.pcap
1,port_scan,./data/h4_capture_port_scan_1.pcap
2,benign,./data/h4_capture_benign_2.pcap
2,icmp_flood,./data/h4_capture_icmp_flood_2.pcap
2,syn_flood,./data/h4_capture_syn_flood_2.pcap
2,port_scan,./data/h4_capture_port_scan_2.pcap
3,benign,./data/h4_capture_benign_3.pcap
3,icmp_flood,./data/h4_capture_icmp_flood_3.pcap
3,syn_flood,./data/h4_capture_syn_flood_3.pcap
3,port_scan,./data/h4_capture_port_scan_3.pcap
4,benign,./data/h4_capture_benign_4.pcap
4,icmp_flood,./data/h4_capture_icmp_flood_4.pcap
4,syn_flood,./data/h4_capture_syn_flood_4.pcap
4,port_scan,./data/h4_capture_port_scan_4.pcap
5,benign,./data/h4_capture_benign_5.pcap
5,icmp_flood,./data/h4_capture_icmp_flood_5.pcap
5,syn_flood,./data/h4_capture_syn_flood_5.pcap
5,port_scan,./data/h4_capture_port_scan_5.pcap
